,LoanStatus,Source,ModifiedCreditScore,ModifiedBankruptcyScore,EmploymentStatus,EmployedMonths,TotalMonthlyIncome,PrimeMonthlyLiability,PrimeMonthlyRent,TotalMonthlyDebtBeforeLoan,VehicleYear,VehicleMake,VehicleMileage,isNewVehicle,TotalVehicleValue,AmountRequested,DownPayment,Loanterm,OccupancyStatus,OccupancyDuration,EstimatedMonthlyPayment,NumberOfOpenRevolvingAccounts,LTV,RequestType,DTI,MemberIndicator,CoApplicantIndicator
1364,Declined,GATEWAY,622,243,Employed,168,3500.0,482.0,1.0,483.0,1,HYUNDAI,20.0,Y,23175.0,20574.0,1000.0,75.0,LIVEWITHPARENTS,144,274.32,2.0,0.8877,CAR SALE,0.138,N,N
1365,Declined,CONSUMER,698,278,Employed,12,3123.34,2321.6,0.0,2321.6,6,TOYOTA,16876.0,N,19000.0,15000.0,4000.0,69.0,BUYING,96,231.03,5.0,0.7894,DEALER PURCHASE,0.74331,N,Y
1366,Declined,GATEWAY,620,323,Employed,37,3468.75,1021.66,675.0,1696.66,2,HYUNDAI,45.0,Y,27155.0,33347.0,0.0,75.0,RENT,11,444.63,1.0,1.228,INDIRECT,0.48913,N,N
1367,Declined,GATEWAY,666,400,Employed,36,2740.0,50.0,300.0,350.0,1,HYUNDAI,21.0,Y,19210.0,20651.0,200.0,75.0,RENT,9,275.35,2.0,1.075,INDIRECT,0.12774,N,N
1368,Approved,GATEWAY,822,394,Unemployed,0,13333.33,4596.0,0.0,4596.0,5,HYUNDAI,29593.0,N,14625.0,10200.0,5000.0,36.0,LIVEWITHPARENTS,222,293.92,9.0,0.6974,INDIRECT,0.3447,N,Y
1369,Approved,GATEWAY,676,292,Others,48,2496.0,125.69,462.0,587.69,4,CHEVROLET,34234.0,N,21550.0,22156.0,400.0,78.0,RENT,48,334.89,3.0,1.0281,INDIRECT,0.23545,Y,N
1370,Declined,GATEWAY,698,290,Employed,60,7500.0,1721.0,0.0,1721.0,0,RAM,10.0,Y,46310.0,42400.0,2000.0,75.0,BUYING,59,682.08,4.0,0.9155,INDIRECT,0.22947,N,N
1371,Declined,GATEWAY,711,210,Employed,9,2360.0,2436.65,300.0,2736.65,1,TOYOTA,6.0,Y,22479.0,32913.0,3000.0,72.0,OTHER,14,457.13,6.0,1.4641,INDIRECT,1.1596,N,N
1372,Declined,GATEWAY,614,232,Employed,24,6300.0,2065.0,0.0,2065.0,1,FORD,100.0,Y,43555.0,40185.0,5000.0,72.0,BUYING,4,591.45,3.0,0.9226,INDIRECT,0.32778,N,N
1373,Declined,CONSUMER,0,0,Employed,12,1600.0,0.0,0.0,0.0,0,UNDECIDED,0.0,N,5000.0,5000.0,0.0,36.0,LIVEWITHPARENTS,156,138.89,0.0,1.0,DEALER PURCHASE,0.0,N,N
1374,Declined,LENDER,527,186,Employed,45,1400.0,45.0,400.0,445.0,4,UNDECIDED,0.0,Y,20902.6956131264,14312.51,0.0,60.0,RENT,16,347.6,3.0,0.9986677530706455,REFINANCE,0.31786,Y,N
1375,Declined,GATEWAY,653,324,Retired,113,12300.0,1777.0,0.0,2077.0,5,KIA,39859.0,N,11800.0,11919.0,1000.0,72.0,OWN,74,206.66,21.0,1.01,INDIRECT,0.16886,N,Y
1376,Declined,GATEWAY,641,165,Employed,36,15000.0,4577.97,0.0,4577.97,4,GMC,7700.0,N,48300.0,47493.0,1500.0,75.0,BUYING,14,723.24,8.0,0.9832,INDIRECT,0.3052,N,Y
1377,Approved,GATEWAY,655,343,Employed,27,1733.33,104.0,300.0,404.0,7,KIA,25331.0,N,12925.0,12468.0,500.0,75.0,LIVEWITHPARENTS,144,278.87,4.0,0.9646,INDIRECT,0.23308,N,N
1378,Declined,GATEWAY,0,172,Employed,48,7814.0,39.0,750.0,789.0,6,VOLKSWAGEN,42051.0,N,20025.0,20013.0,1500.0,72.0,RENT,30,11.05,0.0,0.9994,INDIRECT,0.10097,N,N
1379,Approved,GATEWAY,834,305,Employed,156,5983.33,1336.0,0.0,1336.0,1,HYUNDAI,35.0,Y,28235.0,21374.0,0.0,84.0,BUYING,72,332.46,4.0,0.757,CAR SALE,0.22329,N,N
1380,Declined,LENDER,552,159,Employed,7,1950.0,713.0,400.0,1113.0,4,HYUNDAI,50000.0,N,13225.0,8000.0,0.0,48.0,RENT,24,176.36,7.0,0.6049,REFINANCE-PROMO,0.57077,Y,N
1381,Declined,GATEWAY,609,297,Employed,24,3925.0,490.0,950.0,1440.0,3,HONDA,18772.0,N,19725.0,19155.0,1000.0,72.0,RENT,24,429.14,2.0,0.9711,INDIRECT,0.36688,N,Y
1382,Declined,GATEWAY,511,256,Employed,8,2600.0,204.09,0.0,204.09,3,JEEP,12950.0,N,25275.0,21057.0,1500.0,72.0,LIVEWITHPARENTS,4,292.46,1.0,0.8331,INDIRECT,0.0785,N,N
1383,Declined,GATEWAY,603,288,Employed,61,2864.0,413.61,0.0,413.61,8,MAZDA,32187.0,N,14950.0,15314.0,0.0,72.0,BUYING,217,288.81,1.0,1.0243,INDIRECT,0.14442,N,N
1384,Declined,GATEWAY,539,225,Employed,27,1930.0,121.0,300.0,421.0,3,TOYOTA,3.0,Y,18790.0,15318.0,1800.0,72.0,RENT,24,334.23,3.0,0.8152,INDIRECT,0.21813,N,N
1385,Approved,LENDER,708,345,Employed,60,3833.33,200.0,425.0,625.0,13,NISSAN,85800.0,N,10150.0,9850.0,0.0,54.0,RENT,48,206.41,4.0,0.9704,REFINANCE,0.16304,Y,N
1386,Declined,GATEWAY,550,178,Retired,0,3750.0,124.0,300.0,424.0,4,RAM,15.0,Y,31860.0,21873.0,9000.0,75.0,LIVEWITHPARENTS,29,291.64,1.0,0.6865,INDIRECT,0.11307,N,N
1387,Approved,GATEWAY,831,385,Employed,180,3416.67,1017.12,0.0,1017.12,2,KIA,29.0,Y,19120.0,19056.0,1000.0,84.0,BUYING,192,294.62,4.0,0.9966,INDIRECT,0.29769,Y,N
1388,Approved,GATEWAY,817,326,Retired,0,5000.0,1604.0,0.0,1604.0,1,NISSAN,14.0,Y,28620.0,26604.0,1500.0,84.0,LIVEWITHPARENTS,1,377.97,3.0,0.9295,INDIRECT,0.3208,N,N
1389,Declined,GATEWAY,673,405,Retired,0,3582.0,432.0,0.0,432.0,4,VOLKSWAGEN,18402.0,N,17000.0,20504.0,0.0,72.0,OWN,12,284.78,1.0,1.2061,INDIRECT,0.1206,N,N
1390,Declined,GATEWAY,658,157,Employed,180,8333.33,3150.0,0.0,3150.0,1,GMC,197.0,Y,47910.0,49292.0,5500.0,75.0,BUYING,132,926.19,13.0,1.0288,INDIRECT,0.378,N,N
1391,Declined,LENDER,0,0,Employed,9,3016.0,0.0,300.0,300.0,0,UNDECIDED,0.0,Y,20902.6956131264,23000.0,0.0,66.0,LIVEWITHPARENTS,216,506.15,0.0,0.9986677530706455,DEALER PURCHASE,0.09947,Y,N
1392,Declined,GATEWAY,0,305,Employed,36,1534.0,0.0,321.0,321.0,5,HYUNDAI,37972.0,N,13875.0,15800.0,300.0,72.0,RENT,48,336.16,0.0,1.1387,INDIRECT,0.20926,N,N
1393,Approved,GATEWAY,826,326,Employed,336,7083.33,936.0,0.0,936.0,4,BUICK,12.0,Y,44375.0,36727.0,0.0,84.0,BUYING,336,490.8,0.0,0.8276,INDIRECT,0.13214,N,N
1394,Declined,GATEWAY,666,339,Employed,2,6380.0,453.0,0.0,453.0,1,SUBARU,6.0,Y,31363.0,29198.0,0.0,72.0,LIVEWITHPARENTS,9,405.53,2.0,0.9309,INDIRECT,0.071,N,N
1395,Declined,GATEWAY,668,357,Employed,14,2000.0,235.0,300.0,535.0,4,CHRYSLER,45574.0,N,14850.0,15026.0,0.0,75.0,LIVEWITHPARENTS,120,200.35,0.0,1.0118,INDIRECT,0.2675,N,N
1396,Declined,LENDER,655,279,Employed,132,2946.67,1253.23,0.0,1253.23,0,UNDECIDED,0.0,N,20902.6956131264,20000.0,0.0,66.0,BUYING,22,379.61,3.0,0.9986677530706455,DEALER PURCHASE,0.4253,Y,N
1397,Declined,CONSUMER,0,287,Employed,24,1727.0,0.0,300.0,300.0,0,UNDECIDED,0.0,N,15000.0,15000.0,0.0,36.0,LIVEWITHPARENTS,36,519.23,0.0,1.0,DEALER PURCHASE,0.1636,Y,N
1398,Approved,GATEWAY,688,314,Others,60,2800.0,875.0,0.0,875.0,5,TOYOTA,35243.0,N,17850.0,19990.0,1000.0,72.0,BUYING,12,359.26,7.0,1.1198,INDIRECT,0.3125,Y,N
1399,Declined,GATEWAY,588,199,Retired,240,3500.0,177.0,0.0,177.0,1,CHEVROLET,2989.0,Y,20505.0,20714.0,0.0,72.0,LIVEWITHPARENTS,120,287.7,5.0,1.0101,INDIRECT,0.05057,N,N
1400,Declined,GATEWAY,599,271,Retired,192,4125.0,84.0,0.0,84.0,3,JEEP,25.0,Y,30375.0,33048.0,1000.0,75.0,OWN,132,704.44,10.0,1.088,INDIRECT,0.02036,N,N
1401,Declined,GATEWAY,627,278,Retired,74,3950.0,54.0,300.0,354.0,2,MAZDA,18.0,Y,23830.0,29056.0,2063.0,75.0,LIVEWITHPARENTS,52,535.4,2.0,1.2193,INDIRECT,0.08962,N,N
1402,Approved,GATEWAY,701,323,Employed,24,3325.0,25.0,375.0,400.0,2,HYUNDAI,16.0,Y,21315.0,25323.0,500.0,84.0,RENT,24,403.31,2.0,1.188,CAR SALE,0.1203,N,N
1403,Approved,GATEWAY,662,325,Employed,58,3800.0,775.0,0.0,775.0,4,GMC,11015.0,N,41925.0,41536.0,3000.0,74.0,LIVEWITHPARENTS,241,598.31,1.0,0.9907,CAR SALE,0.20395,N,N
1404,Approved,GATEWAY,721,390,Employed,48,7077.0,566.0,300.0,866.0,9,TOYOTA,69342.0,N,8175.0,9933.0,500.0,60.0,LIVEWITHPARENTS,33,181.54,12.0,1.215,INDIRECT,0.12237,N,Y
1405,Approved,GATEWAY,641,416,Employed,30,8667.67,1257.0,0.0,1257.0,9,CHRYSLER,82421.0,N,14675.0,16348.0,0.0,72.0,BUYING,168,266.41,1.0,1.114,INDIRECT,0.14502,N,Y
1406,Declined,GATEWAY,626,280,Employed,30,8800.0,1628.87,500.0,2628.87,2,CHRYSLER,16061.0,N,25875.0,25940.0,1000.0,72.0,RENT,29,360.28,3.0,1.0025,INDIRECT,0.29874,N,Y
1407,Approved,GATEWAY,766,331,Employed,60,5500.0,1662.0,0.0,1662.0,2,DODGE,10315.0,N,24275.0,26303.0,1000.0,84.0,BUYING,24,359.5,2.0,1.0835,INDIRECT,0.30218,N,N
1408,Declined,GATEWAY,666,261,Employed,27,2333.33,2581.63,250.0,2831.63,7,OTHERS,40678.0,N,20425.0,23580.0,500.0,72.0,RENT,51,405.49,3.0,1.1544,INDIRECT,1.21356,N,N
1409,Declined,GATEWAY,617,49,Employed,84,7000.0,3095.0,0.0,3095.0,2,RAM,21.0,Y,45795.0,52580.0,3400.0,75.0,BUYING,18,701.07,12.0,1.1481,INDIRECT,0.44214,N,N
1410,Declined,LENDER,598,271,Employed,10,1733.33,752.0,357.0,1109.0,4,UNDECIDED,0.0,Y,20902.6956131264,20000.0,0.0,75.0,RENT,36,427.65,2.0,0.9986677530706455,DEALER PURCHASE,0.63981,N,N
1411,Declined,GATEWAY,755,304,Employed,135,3200.0,1600.0,0.0,1600.0,11,OTHERS,101084.0,N,6800.0,3166.0,4000.0,60.0,BUYING,60,52.77,0.0,0.4655,INDIRECT,0.5,N,N
1412,Approved,GATEWAY,719,370,Employed,12,3120.0,225.0,300.0,525.0,3,FORD,10.0,Y,47110.0,31054.0,6000.0,84.0,LIVEWITHPARENTS,36,477.6,0.0,0.6591,INDIRECT,0.16827,N,N
1413,Declined,CONSUMER,605,247,Employed,42,2500.0,688.0,602.0,1290.0,9,HYUNDAI,85865.0,N,15321.44,15321.44,0.0,48.0,RENT,41,319.2,1.0,1.0,REFINANCE,0.516,N,N
1414,Approved,GATEWAY,662,228,Employed,53,4130.0,830.44,0.0,830.44,3,HYUNDAI,41507.0,N,12150.0,11470.0,1000.0,66.0,BUYING,84,210.74,3.0,0.944,INDIRECT,0.20108,N,N
1415,Approved,GATEWAY,605,324,Employed,41,9167.0,1145.0,300.0,1445.0,3,NISSAN,7.0,Y,27945.0,33855.0,0.0,72.0,OTHER,38,536.71,9.0,1.2114,CAR SALE,0.15763,N,Y
1416,Declined,GATEWAY,586,170,Employed,48,3583.33,911.72,400.0,1311.72,2,DODGE,21.0,Y,24880.0,27834.0,300.0,75.0,RENT,60,371.12,3.0,1.1187,INDIRECT,0.36606,N,N
1417,Approved,LENDER,798,331,Employed,108,2390.0,1105.0,0.0,1105.0,6,HYUNDAI,61220.0,N,8250.0,10157.44,0.0,66.0,BUYING,108,142.49,4.0,1.2312,DEALER PURCHASE,0.46234,Y,N
1418,Declined,GATEWAY,635,338,Employed,24,4083.33,2144.0,500.0,3144.0,3,NISSAN,13.0,Y,19035.0,20072.0,1000.0,75.0,RENT,24,267.63,15.0,1.0544,CAR SALE,0.76996,Y,Y
1419,Declined,LENDER,629,444,Employed,36,3052.4,143.65,600.0,743.65,0,UNDECIDED,0.0,N,20902.6956131264,22000.0,0.0,66.0,RENT,36,437.3,2.0,0.9986677530706455,DEALER PURCHASE,0.24363,N,N
1420,Declined,GATEWAY,569,355,Employed,15,3300.0,106.0,250.0,806.0,5,TOYOTA,13412.0,N,16475.0,17073.0,1000.0,66.0,LIVEWITHPARENTS,84,393.12,4.0,1.0362,INDIRECT,0.24424,N,Y
1421,Declined,CONSUMER,622,261,Employed,1,2320.0,103.0,300.0,403.0,0,UNDECIDED,0.0,Y,20000.0,20000.0,0.0,60.0,OTHER,240,319.22,7.0,1.0,DEALER PURCHASE,0.17371,Y,N
1422,Approved,LENDER,757,312,Others,97,4000.0,577.85,0.0,577.85,4,MAZDA,13710.0,N,22575.0,20300.0,0.0,60.0,BUYING,193,367.76,1.0,0.8992,REFINANCE-PROMO,0.14446,Y,N
1423,Declined,CONSUMER,613,87,Employed,122,6099.17,3023.35,0.0,3023.35,0,UNDECIDED,0.0,N,10500.0,10500.0,0.0,60.0,BUYING,120,224.01,4.0,1.0,DEALER PURCHASE,0.4957,Y,N
1424,Approved,GATEWAY,697,248,Employed,240,14000.0,4008.0,0.0,4008.0,2,CHEVROLET,88.0,Y,43000.0,45486.0,1000.0,84.0,BUYING,30,606.32,7.0,1.0578,INDIRECT,0.28629,Y,Y
1425,Declined,GATEWAY,615,337,Employed,36,6500.0,1128.0,0.0,1128.0,3,RAM,25.0,Y,20902.6956131264,44426.0,1000.0,75.0,BUYING,36,796.17,1.0,0.9986677530706455,INDIRECT,0.17354,N,N
1426,Declined,GATEWAY,619,162,Employed,24,2900.0,953.0,450.0,1403.0,9,FORD,67173.0,N,24250.0,30282.0,2000.0,72.0,RENT,24,547.78,13.0,1.2487,INDIRECT,0.48379,N,N
1427,Approved,LENDER,697,271,Employed,24,3997.06,982.0,350.0,1332.0,5,HONDA,36000.0,N,19550.0,15000.0,0.0,66.0,RENT,24,250.81,6.0,0.7672,REFINANCE-PROMO,0.33324,N,N
1428,Approved,GATEWAY,633,289,Employed,24,2800.0,323.0,300.0,623.0,3,HYUNDAI,91.0,Y,16800.0,21367.0,500.0,75.0,OTHER,6,333.02,2.0,1.2718,CAR SALE,0.2225,N,N
1429,Declined,LENDER,518,392,Employed,5,1733.33,294.0,400.0,694.0,4,UNDECIDED,0.0,Y,20902.6956131264,15000.0,0.0,48.0,LIVEWITHPARENTS,96,340.6,1.0,0.9986677530706455,DEALER PURCHASE,0.40039,N,N
1430,Approved,LENDER,835,450,Employed,276,7083.33,854.0,0.0,854.0,4,UNDECIDED,0.0,Y,20902.6956131264,40000.0,0.0,72.0,BUYING,0,599.29,3.0,0.9986677530706455,DEALER PURCHASE,0.12056,Y,N
1431,Declined,LENDER,520,64,Employed,225,7733.33,211.0,300.0,511.0,0,UNDECIDED,0.0,Y,20902.6956131264,10000.0,0.0,72.0,OTHER,8,224.84,7.0,0.9986677530706455,DEALER PURCHASE,0.06608,N,N
1432,Declined,LENDER,558,296,Employed,12,3000.0,25.0,300.0,325.0,4,UNDECIDED,0.0,Y,20902.6956131264,10000.0,0.0,60.0,LIVEWITHPARENTS,180,237.62,2.0,0.9986677530706455,DEALER PURCHASE,0.10833,N,N
1433,Approved,GATEWAY,673,365,Employed,12,1646.67,124.83,300.0,424.83,4,NISSAN,36838.0,Y,17250.0,18740.0,1000.0,75.0,RENT,24,324.7,2.0,1.0863,CAR SALE,0.25799,Y,N
1434,Approved,CONSUMER,829,406,Employed,192,13000.0,3089.75,0.0,3089.75,0,UNDECIDED,0.0,Y,50000.0,47500.0,2500.0,84.0,BUYING,48,643.82,6.0,0.95,DEALER PURCHASE,0.23767,Y,N
1435,Declined,GATEWAY,632,307,Employed,36,2755.0,601.14,0.0,601.14,4,CHRYSLER,30091.0,N,16575.0,14594.0,0.0,72.0,RENT,11,202.7,1.0,0.8804,INDIRECT,0.2182,N,Y
1436,Declined,CONSUMER,637,392,Employed,12,1000.0,93.07,300.0,393.07,1,HYUNDAI,0.0,Y,18000.0,7000.0,11000.0,60.0,RENT,6,140.54,0.0,0.3888,DEALER PURCHASE,0.39307,Y,N
1437,Declined,GATEWAY,658,234,Employed,54,6500.0,1245.0,0.0,1245.0,0,RAM,10.0,Y,52440.0,41429.0,3000.0,75.0,OWN,229,69.72,8.0,0.79,INDIRECT,0.19154,N,N
1438,Declined,GATEWAY,674,53,Employed,144,2700.0,2085.0,0.0,2085.0,8,HONDA,76206.0,N,10825.0,10946.0,1000.0,66.0,BUYING,55,165.85,14.0,1.0111,INDIRECT,0.77222,N,N
1439,Declined,GATEWAY,637,215,Employed,36,5340.0,1344.0,400.0,1744.0,3,HYUNDAI,15.0,Y,25105.0,33242.0,350.0,78.0,RENT,36,426.18,13.0,1.3241,INDIRECT,0.32659,N,Y
1440,Declined,GATEWAY,737,186,Employed,300,15000.0,1886.0,0.0,1886.0,1,MAZDA,11.0,Y,41665.0,48032.0,3000.0,84.0,BUYING,348,571.81,10.0,1.1528,INDIRECT,0.12573,N,N
1441,Approved,GATEWAY,742,326,Employed,98,14000.0,2727.04,0.0,3027.04,1,ACURA,10642.0,N,36380.0,41717.0,0.0,84.0,BUYING,28,622.79,10.0,1.1467,INDIRECT,0.21622,N,Y
1442,Approved,GATEWAY,790,278,Employed,48,9200.0,3859.0,0.0,3859.0,2,FORD,35092.0,N,49575.0,35199.0,0.0,84.0,BUYING,17,474.82,3.0,0.71,INDIRECT,0.41946,Y,N
1443,Approved,GATEWAY,640,198,Employed,108,5000.0,1499.0,0.0,1499.0,4,MITSUBISHI,29783.0,N,10025.0,10438.0,500.0,72.0,OWN,60,146.54,2.0,1.0411,INDIRECT,0.2998,N,N
1444,Approved,LENDER,693,304,Others,120,10416.67,2373.0,0.0,2373.0,2,CHEVROLET,0.0,Y,65600.0,60000.0,0.0,84.0,BUYING,30,857.72,5.0,0.9146,DEALER PURCHASE,0.22781,N,N
1445,Declined,GATEWAY,630,336,Employed,36,2916.67,212.0,0.0,212.0,2,TOYOTA,6340.0,N,21300.0,20698.0,1300.0,60.0,LIVEWITHPARENTS,204,344.97,5.0,0.9717,INDIRECT,0.07269,N,N
1446,Declined,GATEWAY,584,156,Employed,15,3500.0,1885.0,0.0,1885.0,9,FORD,40624.0,Y,19700.0,22119.0,0.0,66.0,BUYING,7,509.21,5.0,1.1227,INDIRECT,0.53857,N,N
1447,Approved,GATEWAY,651,182,Employed,36,4166.67,850.0,450.0,1300.0,3,MAZDA,43.0,Y,29565.0,28559.0,2500.0,72.0,RENT,36,480.72,5.0,0.9659,INDIRECT,0.312,N,N
1448,Declined,GATEWAY,499,162,Employed,126,1820.0,830.0,0.0,830.0,8,CHEVROLET,26253.0,N,12900.0,12530.0,200.0,72.0,OWN,36,277.11,4.0,0.9713,INDIRECT,0.45604,N,N
1449,Approved,GATEWAY,648,393,Retired,264,2500.0,604.0,0.0,604.0,2,MAZDA,41.0,Y,34095.0,16877.0,22000.0,72.0,OWN,168,295.27,4.0,0.4949,INDIRECT,0.2416,N,N
1450,Approved,GATEWAY,687,172,Employed,48,4166.67,875.82,600.0,1475.82,4,NISSAN,28498.0,N,17775.0,21075.0,500.0,75.0,RENT,16,333.76,5.0,1.1856,INDIRECT,0.3542,N,N
1451,Declined,GATEWAY,589,232,Employed,3,4966.67,274.0,300.0,574.0,3,FORD,100.0,Y,36295.0,35775.0,0.0,72.0,LIVEWITHPARENTS,252,663.51,3.0,0.9856,INDIRECT,0.11557,N,N
1452,Declined,LENDER,670,61,Others,121,5416.67,1037.0,300.0,1337.0,11,MERCEDES-BENZ,90000.0,N,17400.0,18595.56,0.0,48.0,OTHER,1,430.54,13.0,1.0687,REFINANCE-PROMO,0.24683,Y,N
1453,Approved,LENDER,647,269,Employed,17,5800.0,247.0,700.0,947.0,4,TOYOTA,27500.0,N,29125.0,29208.43,0.0,66.0,RENT,27,550.71,0.0,1.0028,REFINANCE-PROMO,0.16328,Y,N
1454,Declined,GATEWAY,663,166,Employed,180,8333.33,906.0,450.0,1356.0,1,NISSAN,19.0,Y,32780.0,44635.0,0.0,84.0,RENT,84,777.38,9.0,1.3616,INDIRECT,0.16272,N,N
1455,Approved,GATEWAY,687,288,Employed,59,2333.33,406.0,300.0,706.0,4,NISSAN,4.0,Y,19305.0,20781.0,500.0,75.0,LIVEWITHPARENTS,48,320.37,3.0,1.0764,CAR SALE,0.30257,N,N
1456,Declined,GATEWAY,569,250,Employed,15,2500.0,511.47,0.0,511.47,3,NISSAN,7.0,Y,20902.6956131264,23630.0,500.0,72.0,LIVEWITHPARENTS,48,328.2,1.0,0.9986677530706455,CAR SALE,0.20459,N,N
1457,Declined,LENDER,643,253,Employed,48,3963.5,434.0,450.0,884.0,5,TOYOTA,11800.0,N,22200.0,23423.83,0.0,48.0,RENT,30,573.85,6.0,1.0551,REFINANCE,0.22304,Y,N
1458,Approved,CONSUMER,812,366,Employed,202,8000.0,2140.0,0.0,2140.0,0,UNDECIDED,0.0,N,25000.0,23000.0,2000.0,60.0,BUYING,28,421.56,4.0,0.92,DEALER PURCHASE,0.2675,Y,N
1459,Approved,CONSUMER,705,300,Employed,8,4030.73,1985.56,0.0,1985.56,3,UNDECIDED,50000.0,N,22000.0,17000.0,5000.0,75.0,BUYING,3,259.81,5.0,0.7727,DEALER PURCHASE,0.46125,Y,N
1460,Approved,GATEWAY,781,235,Others,12,5558.0,2188.0,300.0,2488.0,3,MAZDA,13300.0,N,28800.0,15598.0,10000.0,72.0,OTHER,180,244.08,8.0,0.5415,INDIRECT,0.44764,N,N
1461,Declined,GATEWAY,546,87,Employed,144,5833.3333,2441.0,0.0,2441.0,2,OTHERS,100.0,Y,36185.0,39366.0,0.0,75.0,BUYING,24,794.8,8.0,1.0879,INDIRECT,0.41846,N,N
1462,Approved,GATEWAY,803,330,Retired,60,13416.67,838.0,0.0,838.0,3,CHEVROLET,7.0,Y,44845.0,33707.0,0.0,72.0,BUYING,180,539.74,1.0,0.7516,INDIRECT,0.06246,N,Y
1463,Approved,GATEWAY,628,311,Employed,24,4500.0,524.0,250.0,774.0,2,KIA,16.0,Y,19120.0,24045.0,0.0,72.0,RENT,24,364.56,3.0,1.2575,INDIRECT,0.172,N,N
1464,Declined,GATEWAY,628,221,Employed,12,2000.0,549.34,300.0,849.34,7,DODGE,41076.0,N,27875.0,25306.0,5000.0,75.0,LIVEWITHPARENTS,84,447.39,4.0,0.9078,INDIRECT,0.42467,N,N
1465,Declined,GATEWAY,659,316,Employed,26,5200.0,315.0,300.0,615.0,3,HYUNDAI,58584.0,N,12775.0,12777.0,0.0,72.0,LIVEWITHPARENTS,60,189.21,1.0,1.0001,INDIRECT,0.11827,N,N
1466,Approved,GATEWAY,740,327,Employed,33,18746.67,2706.0,0.0,2706.0,1,JEEP,11530.0,N,20900.0,15316.0,5000.0,75.0,LIVEWITHPARENTS,33,237.61,7.0,0.7328,INDIRECT,0.14435,N,Y
1467,Declined,CONSUMER,557,110,Employed,6,1733.33,0.0,300.0,300.0,6,CHEVROLET,11356.0,N,10998.0,10998.0,0.0,72.0,LIVEWITHPARENTS,16,243.16,1.0,1.0,DEALER PURCHASE,0.17308,N,N
1468,Approved,LENDER,644,234,Employed,50,6984.25,1236.0,545.0,2281.0,7,KIA,61486.0,N,11275.0,11587.0,0.0,48.0,RENT,84,260.53,14.0,1.0276,REFINANCE-PROMO,0.32659,Y,Y
1469,Declined,GATEWAY,593,280,Employed,6,5833.33,587.15,400.0,987.15,3,HYUNDAI,6.0,Y,25005.0,30402.0,450.0,75.0,RENT,24,647.57,1.0,1.2158,INDIRECT,0.16923,N,N
1470,Declined,GATEWAY,661,387,Employed,28,10000.0,352.0,0.0,352.0,2,RAM,15.0,Y,34605.0,19383.0,15000.0,72.0,OWN,36,336.13,2.0,0.5601,INDIRECT,0.0352,N,N
1471,Declined,GATEWAY,0,220,Employed,33,3148.0,0.0,551.0,551.0,6,NISSAN,78509.0,N,8150.0,13184.0,0.0,72.0,RENT,12,183.12,0.0,1.6176,INDIRECT,0.17503,N,N
1472,Declined,GATEWAY,583,352,Employed,24,2000.0,123.0,0.0,123.0,6,CHEVROLET,49654.0,N,12575.0,10961.0,1000.0,72.0,LIVEWITHPARENTS,192,152.24,1.0,0.8716,INDIRECT,0.0615,N,N
1473,Approved,GATEWAY,691,210,Others,126,5500.0,1976.0,0.0,1976.0,2,CHEVROLET,15.0,Y,39295.0,33489.0,0.0,75.0,OWN,2,508.55,10.0,0.8522,INDIRECT,0.35927,N,N
1474,Approved,LENDER,802,379,Retired,192,4905.42,1892.0,0.0,1892.0,4,UNDECIDED,0.0,Y,20902.6956131264,40000.0,0.0,66.0,OWN,504,665.36,12.0,0.9986677530706455,DEALER PURCHASE,0.3857,Y,Y
1475,Approved,GATEWAY,654,258,Employed,210,5371.17,285.0,1100.0,1385.0,4,NISSAN,40048.0,N,11200.0,12871.0,2418.0,75.0,RENT,4,270.56,1.0,1.1491,CAR SALE,0.25786,N,N
1476,Declined,GATEWAY,678,240,Retired,84,4450.0,1185.0,300.0,1485.0,2,MAZDA,41.0,Y,25040.0,24644.0,0.0,84.0,OTHER,48,293.39,2.0,0.9841,INDIRECT,0.33371,N,N
1477,Declined,GATEWAY,713,425,Employed,120,4850.0,151.0,400.0,951.0,4,HONDA,36413.0,N,15100.0,15420.0,1500.0,72.0,RENT,108,214.17,5.0,1.0211,INDIRECT,0.19608,N,Y
1478,Declined,LENDER,647,282,Employed,60,2491.67,805.0,300.0,1105.0,0,UNDECIDED,0.0,N,20902.6956131264,10000.0,0.0,75.0,RENT,84,169.77,1.0,0.9986677530706455,DEALER PURCHASE,0.44348,Y,N
1479,Declined,LENDER,563,115,Employed,6,3293.33,306.95,985.0,1291.95,6,GMC,41511.0,N,17375.0,18717.03,0.0,84.0,RENT,30,386.53,6.0,1.0772,REFINANCE-PROMO,0.39229,N,N
1480,Approved,GATEWAY,729,395,Employed,134,20000.0,4916.0,0.0,4916.0,2,VOLKSWAGEN,42.0,Y,23580.0,13145.0,0.0,36.0,BUYING,31,382.46,7.0,0.5574,INDIRECT,0.2458,N,Y
1481,Declined,GATEWAY,583,62,Others,168,6500.0,1348.0,0.0,1348.0,4,CHEVROLET,12.0,Y,25395.0,22193.0,1500.0,72.0,OWN,117,484.45,6.0,0.8739,INDIRECT,0.20738,N,N
1482,Approved,GATEWAY,675,166,Employed,168,6034.47,1993.0,0.0,1993.0,3,FORD,17269.0,N,27219.0,30286.0,0.0,72.0,BUYING,168,484.73,7.0,1.1126,INDIRECT,0.33027,N,N
