,Location,Vehicle_Year,Miles_Driven,Fuel_Type,Transmission,Owner_Type,Seats,Company,Fuel_Consumption(mpg),Engine(CC),Power(bhp),Price
1736,Austin,10,13051,Diesel,Automatic,First,5.0,GM,53,998.0,67.04,5500
1737,Los_Angeles,3,75189,Gasoline,Automatic,First,7.0,GM,58,1248.0,88.5,16000
1738,Houston,10,45681,CNG,Automatic,First,5.0,GM,46,796.0,46.3,3700
1739,Houston,5,21128,Diesel,Continuously_Variable,First,5.0,GM,48,998.0,67.0,7700
1740,Seattle,3,17630,Diesel,Automatic,First,7.0,GM,36,1196.0,73.0,9480
1741,Orlando,7,46453,Gasoline,Automatic,First,5.0,RENAULT,46,1461.0,108.45,11260
1742,Orlando,9,16035,Diesel,Automatic,First,5.0,GM,43,1061.0,64.0,5240
1743,Orlando,5,51330,CNG,Automatic,First,5.0,RENAULT,31,1598.0,102.53,9800
1744,Chicago,14,68354,CNG,Automatic,First,5.0,HONDA,32,1799.0,130.0,5300
1745,Dallas,8,54683,Gasoline,Automatic,First,7.0,TESLA,38,2179.0,140.0,11980
1746,Chicago,9,68354,Gasoline,Automatic,Second,5.0,TESLA,49,1461.0,64.1,4800
1747,Dallas,3,9321,Diesel,Automatic,First,5.0,RENAULT,51,999.0,67.0,8500
1748,Charlotte,7,43498,Gasoline,Manual,First,5.0,PORSCHE,36,2967.0,240.0,80000
1749,Los_Angeles,12,93210,Gasoline,Automatic,Second,5.0,GM,67,1248.0,74.0,5400
1750,San_Francisco,4,11807,Diesel,Automatic,First,5.0,OTHERS,49,1198.0,67.0,5980
1751,Chicago,9,23266,Diesel,Automatic,First,5.0,HYUNDAI,44,1197.0,80.0,6800
1752,Seattle,4,39217,Gasoline,Manual,Second,5.0,BMW,43,1995.0,190.0,61600
1753,Charlotte,8,54683,Gasoline,Automatic,First,7.0,GM,49,1248.0,88.8,11700
1754,Houston,6,26319,CNG,Automatic,First,5.0,HYUNDAI,44,1197.0,82.0,8000
1755,Seattle,9,47146,Diesel,Semi-Automatic,First,5.0,BMW,22,2996.0,254.0,28240
1756,Charlotte,9,40391,Gasoline,Automatic,First,5.0,CHEVROLET,42,1998.0,163.7,9100
1757,Los_Angeles,5,42877,Gasoline,Semi-Automatic,First,5.0,MERCEDES-BENZ,0,2987.0,165.0,76000
1758,Houston,9,49235,Gasoline,Automatic,First,5.0,GM,50,1248.0,73.9,5800
1759,Los_Angeles,13,136708,Diesel,Semi-Automatic,Second,5.0,MERCEDES-BENZ,28,1796.0,186.0,12000
1760,Orlando,4,17691,CNG,Automatic,First,5.0,HYUNDAI,44,1197.0,81.83,13900
1761,Atlanta,6,6064,Diesel,Automatic,First,5.0,HYUNDAI,48,998.0,68.05,5500
1762,Los_Angeles,6,46739,Gasoline,Automatic,First,5.0,GM,54,1248.0,74.0,10200
1763,Chicago,3,4971,Diesel,Automatic,First,5.0,HYUNDAI,44,1197.0,81.83,13500
1764,Charlotte,6,36943,Diesel,Automatic,First,5.0,GM,44,1197.0,85.8,7380
1765,San_Francisco,7,33553,Gasoline,Automatic,First,5.0,GM,54,1248.0,74.0,10900
1766,Orlando,2,9405,Diesel,Automatic,First,5.0,HONDA,41,1199.0,88.7,18580
1767,Chicago,5,32934,CNG,Semi-Automatic,Second,5.0,HYUNDAI,40,1197.0,81.86,8000
1768,Atlanta,7,24856,Diesel,Automatic,First,5.0,HONDA,42,1198.0,86.7,5800
1769,Los_Angeles,7,13116,Diesel,Automatic,First,5.0,HYUNDAI,40,1591.0,121.3,10500
1770,Charlotte,6,34798,CNG,Automatic,First,5.0,HONDA,40,1497.0,116.3,11500
1771,Seattle,3,12194,Diesel,Automatic,First,5.0,HYUNDAI,36,1591.0,121.3,26240
1772,Orlando,6,44096,Gasoline,Automatic,First,7.0,TESLA,36,2179.0,140.0,15660
1773,Charlotte,7,16004,Ethanol,Automatic,First,5.0,GM,63,998.0,58.16,6300
1774,Charlotte,7,31971,Gasoline,Automatic,First,7.0,TOYOTA,30,2494.0,102.0,20800
1775,Los_Angeles,8,46605,Gasoline,Automatic,First,5.0,GM,54,1248.0,74.0,8700
1776,Seattle,3,23509,Diesel,Dual_Clutch,First,5.0,GM,53,998.0,67.0,10460
1777,Seattle,4,26746,Diesel,Automatic,First,5.0,HYUNDAI,44,1197.0,81.86,12020
1778,San_Francisco,6,60422,Gasoline,Automatic,First,5.0,HONDA,61,1498.0,98.6,8800
1779,Chicago,10,51576,Gasoline,Continuously_Variable,First,5.0,BMW,38,1995.0,181.0,25500
1780,Dallas,9,40391,CNG,Automatic,First,5.0,FORD,37,1196.0,70.0,4800
1781,Orlando,2,28589,Diesel,Automatic,First,5.0,VOLKSWAGEN,40,1198.0,73.75,11420
1782,Orlando,5,40966,Gasoline,Automatic,Second,5.0,FORD,53,1498.0,89.84,10980
1783,Los_Angeles,15,45673,Diesel,Automatic,Second,5.0,HONDA,31,1343.0,90.0,2600
1784,Atlanta,6,34177,Gasoline,Automatic,First,7.0,TESLA,38,2179.0,140.0,17000
1785,Dallas,8,71461,Gasoline,Automatic,First,7.0,TOYOTA,31,2982.0,168.5,25980
1786,Atlanta,3,19378,Diesel,Automatic,First,5.0,HYUNDAI,44,1197.0,81.86,10000
1787,Los_Angeles,3,25942,Gasoline,Semi-Automatic,First,5.0,GM,67,1248.0,73.75,18000
1788,Orlando,4,23702,Gasoline,Automatic,First,5.0,GM,54,1248.0,74.0,10440
1789,Los_Angeles,8,11825,Diesel,Automatic,First,5.0,VOLKSWAGEN,39,1198.0,73.9,7600
1790,Seattle,1,12973,Diesel,Automatic,First,5.0,TOYOTA,43,1197.0,78.9,14540
1791,Charlotte,4,14637,Diesel,Automatic,First,5.0,GM,52,1197.0,81.8,10200
1792,Boston,7,18021,Gasoline,Dual_Clutch,First,5.0,MERCEDES-BENZ,33,2143.0,203.0,58000
1793,Los_Angeles,7,37905,CNG,Automatic,First,5.0,GM,44,998.0,67.1,5800
1794,Orlando,8,2602,Diesel,Automatic,First,4.0,CHRYSLER,61,624.0,35.0,2760
1795,Boston,9,28584,Diesel,Automatic,First,5.0,LEXUS,32,1798.0,157.8,11000
1796,Charlotte,4,17399,Diesel,Manual,First,5.0,VOLKSWAGEN,40,1197.0,103.5,14500
1797,Seattle,6,51923,Gasoline,Automatic,First,5.0,HYUNDAI,52,1582.0,126.32,13960
1798,San_Francisco,3,24856,Gasoline,Automatic,First,5.0,CHRYSLER,54,1248.0,74.0,10500
1799,Atlanta,7,22370,Diesel,Automatic,First,5.0,HYUNDAI,50,814.0,55.2,3900
1800,Boston,6,13049,Gasoline,Semi-Automatic,First,5.0,AUDI,40,1968.0,174.33,49000
1801,Orlando,7,38627,Gasoline,Automatic,First,7.0,TOYOTA,31,2494.0,100.0,16620
1802,San_Francisco,8,51576,Gasoline,Manual,First,5.0,MERCEDES-BENZ,28,2987.0,254.8,72000
1803,Los_Angeles,5,36041,Gasoline,Automatic,First,5.0,HYUNDAI,57,1120.0,71.0,11000
1804,Orlando,9,38733,Diesel,Manual,First,5.0,HONDA,28,2354.0,177.6,11780
1805,Orlando,4,31609,Gasoline,Automatic,First,5.0,VOLKSWAGEN,48,1498.0,103.2,15900
1806,Charlotte,10,45362,CNG,Automatic,First,5.0,HYUNDAI,40,1197.0,80.0,5500
1807,Houston,8,60902,Gasoline,Automatic,First,5.0,HYUNDAI,53,1582.0,126.24,12500
1808,San_Francisco,5,22370,Gasoline,Automatic,First,5.0,FORD,47,1399.0,68.05,9900
1809,Orlando,1,16988,Diesel,Automatic,First,5.0,HYUNDAI,44,1197.0,81.83,12540
1810,Atlanta,3,15535,Gasoline,Automatic,First,5.0,HYUNDAI,56,1582.0,126.2,17300
1811,Atlanta,6,22992,CNG,Automatic,First,5.0,HYUNDAI,44,1197.0,82.0,7000
1812,San_Francisco,5,34798,Gasoline,Continuously_Variable,First,5.0,AUDI,33,1968.0,174.3,70000
1813,Atlanta,5,16778,Diesel,Automatic,First,5.0,GM,41,1298.0,85.8,8900
1814,Atlanta,8,22992,Diesel,Automatic,First,5.0,HYUNDAI,44,1197.0,80.0,5300
1815,Atlanta,3,6525,Gasoline,Automatic,First,5.0,TESLA,60,1198.0,77.0,9400
1816,Austin,6,30449,Gasoline,Dual_Clutch,First,5.0,HYUNDAI,43,1582.0,126.2,17800
1817,Charlotte,3,4350,Gasoline,Automatic,First,5.0,JEEP,40,1956.0,170.0,34900
1818,Seattle,3,44278,Gasoline,Automatic,First,5.0,GM,57,1248.0,88.5,19160
1819,Orlando,8,51691,Diesel,Automatic,First,5.0,TOYOTA,34,1798.0,138.03,12440
1820,Atlanta,7,54238,Gasoline,Automatic,First,7.0,TESLA,36,2179.0,140.0,15600
1821,Charlotte,4,4350,Gasoline,Dual_Clutch,First,5.0,BMW,49,1995.0,190.0,55500
1822,Los_Angeles,5,18021,Gasoline,Automatic,Second,5.0,HYUNDAI,53,1396.0,88.73,14000
1823,Seattle,3,20849,Gasoline,Continuously_Variable,First,5.0,MERCEDES-BENZ,27,2987.0,254.79,129740
1824,Boston,7,39770,Gasoline,Automatic,Second,5.0,CHEVROLET,41,1998.0,163.7,13000
1825,Houston,9,50955,CNG,Automatic,Second,5.0,HYUNDAI,44,1197.0,80.0,5400
1826,Charlotte,8,43498,Diesel,Automatic,Second,5.0,HONDA,46,1198.0,86.8,5000
1827,San_Francisco,7,103273,Gasoline,Automatic,First,7.0,NISSAN,45,1461.0,84.8,7800
1828,Dallas,5,36041,Diesel,Automatic,First,5.0,VOLKSWAGEN,39,1198.0,73.9,7900
1829,Chicago,10,47848,CNG,Automatic,Second,5.0,HYUNDAI,48,1197.0,78.9,4200
1830,Los_Angeles,11,45489,Gasoline,Dual_Clutch,Third,4.0,CHEVROLET,43,1991.0,147.9,7000
1831,San_Francisco,13,43498,Diesel,Automatic,Second,5.0,HYUNDAI,47,1086.0,68.05,4000
1832,Dallas,6,49631,Gasoline,Automatic,First,7.0,GM,49,1248.0,88.76,10700
1833,Dallas,7,55926,Gasoline,Automatic,First,5.0,HONDA,61,1498.0,98.6,7600
1834,Charlotte,4,10564,Diesel,Manual,First,5.0,MERCEDES-BENZ,36,1595.0,122.0,34500
1835,Orlando,2,28891,CNG,Automatic,First,5.0,HYUNDAI,44,1197.0,81.86,11060
1836,Los_Angeles,11,42255,Diesel,Automatic,Third,5.0,HYUNDAI,48,1197.0,78.9,3900
1837,San_Francisco,3,1243,Gasoline,Automatic,First,5.0,GM,67,1248.0,74.0,16400
1838,Los_Angeles,15,86996,Diesel,Automatic,First,5.0,HONDA,31,1343.0,90.0,1800
1839,Seattle,6,28295,Gasoline,Dual_Clutch,First,5.0,MINI,56,1998.0,112.0,38820
1840,Seattle,4,24376,Diesel,Automatic,First,5.0,FIAT,37,1368.0,112.4,13160
1841,Charlotte,9,35420,CNG,Automatic,Second,5.0,CHEVROLET,34,1399.0,92.7,4200
1842,Chicago,12,53096,CNG,Automatic,Second,5.0,HYUNDAI,47,1086.0,68.05,4000
1843,Dallas,5,33556,Gasoline,Automatic,First,5.0,HYUNDAI,57,1120.0,71.0,7400
1844,Charlotte,6,32934,Diesel,Dual_Clutch,First,5.0,GM,54,998.0,67.04,7600
1845,Houston,6,37284,CNG,Automatic,First,5.0,HYUNDAI,48,1197.0,78.9,6500
1846,Seattle,5,40806,Gasoline,Automatic,First,5.0,RENAULT,47,1461.0,83.8,11060
1847,Austin,9,62140,Gasoline,Continuously_Variable,Second,5.0,BMW,53,1995.0,190.0,21800
1848,Atlanta,2,1119,Diesel,Automatic,First,5.0,HYUNDAI,44,1197.0,82.0,10200
1849,San_Francisco,13,59654,Diesel,Automatic,Second,5.0,HYUNDAI,0,999.0,0.0,4400
1850,Los_Angeles,11,27466,Diesel,Automatic,Second,5.0,CHEVROLET,42,995.0,62.0,3200
1851,Austin,2,8700,Diesel,Automatic,First,5.0,HONDA,41,1497.0,117.3,22500
1852,Dallas,8,45362,Gasoline,Manual,First,7.0,TOYOTA,27,2982.0,169.0,28800
1853,Dallas,9,42255,Diesel,Automatic,First,5.0,HONDA,40,1497.0,118.0,7200
1854,Houston,3,12144,Gasoline,Continuously_Variable,First,5.0,BMW,43,1995.0,190.0,81000
1855,Boston,6,23613,Gasoline,Continuously_Variable,Second,5.0,AUDI,33,1968.0,174.3,77900
1856,Dallas,6,20385,Gasoline,Automatic,First,5.0,GM,55,1248.0,73.94,7200
1857,Orlando,4,27828,Gasoline,Manual,First,5.0,VOLKSWAGEN,50,1498.0,103.2,14240
1858,Orlando,4,34612,Gasoline,Automatic,First,5.0,HONDA,61,1498.0,98.6,15040
1859,Dallas,8,37284,Gasoline,Dual_Clutch,Second,5.0,AUDI,36,1968.0,140.8,20700
1860,San_Francisco,6,34798,Diesel,Automatic,First,5.0,LEXUS,35,1598.0,103.52,14000
1861,Dallas,9,37284,Gasoline,Automatic,First,7.0,TOYOTA,27,2982.0,171.0,21700
1862,Charlotte,10,48819,Gasoline,Automatic,First,5.0,CHEVROLET,39,1991.0,123.7,4700
1863,Charlotte,6,21543,CNG,Automatic,First,7.0,GM,36,1196.0,73.0,5800
1864,Dallas,3,10564,Diesel,Automatic,First,5.0,GM,49,1373.0,91.1,15300
1865,Dallas,4,41012,Gasoline,Automatic,First,5.0,GM,66,1248.0,88.5,12800
1866,Los_Angeles,6,63643,Gasoline,Automatic,First,7.0,TOYOTA,31,2494.0,100.6,20200
1867,Atlanta,6,30324,CNG,Automatic,First,5.0,GM,45,1197.0,85.8,8500
1868,Orlando,1,6587,Gasoline,Dual_Clutch,First,7.0,TOYOTA,27,2755.0,171.5,39300
1869,Los_Angeles,3,5095,Gasoline,Automatic,First,5.0,CHRYSLER,59,1396.0,69.0,8800
1870,Houston,8,62140,CNG,Automatic,First,5.0,HYUNDAI,44,1197.0,82.85,6500
1871,Los_Angeles,8,48469,Gasoline,Automatic,First,5.0,FORD,42,1399.0,68.0,5600
1872,Atlanta,5,31070,Gasoline,Automatic,First,8.0,CHEVROLET,43,1248.0,73.74,8600
1873,Chicago,14,55508,Gasoline,Automatic,Third,5.0,FORD,42,1399.0,68.0,3100
1874,Chicago,13,60897,CNG,Automatic,Second,5.0,HONDA,25,2354.0,152.0,9400
1875,Orlando,3,15349,Diesel,Automatic,First,5.0,HONDA,44,1199.0,88.7,14140
1876,Dallas,2,3728,Gasoline,Manual,First,7.0,MERCEDES-BENZ,26,2987.0,258.0,158000
1877,Dallas,2,5862,CNG,Automatic,First,5.0,HYUNDAI,44,1197.0,81.86,11500
1878,Charlotte,8,18021,Diesel,Automatic,First,5.0,GM,44,1197.0,85.8,6500
1879,Seattle,3,13944,Gasoline,Semi-Automatic,First,5.0,VOLKSWAGEN,52,1498.0,108.495,17780
1880,Charlotte,5,45406,CNG,Automatic,First,5.0,HONDA,41,1497.0,117.3,11800
1881,Atlanta,4,13528,CNG,Automatic,First,5.0,HONDA,44,1199.0,88.7,9900
1882,Dallas,6,38527,Gasoline,Automatic,First,5.0,GM,42,1248.0,75.0,7500
1883,Orlando,3,23007,Gasoline,Semi-Automatic,First,5.0,HYUNDAI,40,1582.0,126.2,21940
1884,Orlando,6,37493,Gasoline,Manual,Second,5.0,AUDI,34,2967.0,241.4,49880
1885,Atlanta,6,16161,Diesel,Automatic,First,5.0,HYUNDAI,50,814.0,55.2,3940
1886,Houston,10,55926,Gasoline,Automatic,Second,5.0,FORD,47,1399.0,68.0,2800
1887,Seattle,2,22103,Diesel,Automatic,First,5.0,VOLKSWAGEN,40,1198.0,73.75,14540
1888,Atlanta,7,24856,Gasoline,Automatic,First,5.0,RENAULT,51,1461.0,84.8,8000
1889,Atlanta,5,27963,Diesel,Automatic,First,5.0,HONDA,44,1199.0,88.7,9500
1890,Dallas,5,26099,Diesel,Automatic,First,5.0,HYUNDAI,40,1197.0,80.0,10200
1891,Seattle,8,29152,Gasoline,Semi-Automatic,First,5.0,AUDI,35,2967.0,241.4,32220
1892,Dallas,6,38527,Gasoline,Dual_Clutch,First,7.0,TESLA,26,2696.0,184.0,21100
1893,Austin,3,9321,Gasoline,Continuously_Variable,First,7.0,TOYOTA,30,2755.0,174.5,60000
1894,Atlanta,15,42877,Gasoline,Automatic,First,5.0,LEXUS,44,1896.0,66.0,3200
1895,San_Francisco,8,25705,Gasoline,Dual_Clutch,First,5.0,MERCEDES-BENZ,37,2148.0,170.0,36980
1896,Orlando,2,9931,Diesel,Automatic,First,5.0,GM,49,1373.0,91.1,19920
1897,San_Francisco,7,61888,Gasoline,Automatic,Second,5.0,GM,54,1248.0,74.0,9500
1898,Boston,15,39148,Gasoline,Automatic,Third,10.0,TOYOTA,31,2446.0,75.0,7300
1899,Dallas,8,30449,Gasoline,Semi-Automatic,Second,5.0,BMW,39,2495.0,218.0,31000
1900,Orlando,7,29996,Gasoline,Automatic,First,6.0,MITSUBISHI,25,2835.0,116.9,23640
1901,Dallas,12,39148,Diesel,Automatic,First,5.0,TOYOTA,32,1794.0,125.0,4100
1902,Austin,4,47848,Ethanol,Automatic,First,5.0,GM,63,998.0,58.16,6600
1903,Charlotte,7,7292,CNG,Automatic,First,8.0,GM,40,796.0,34.2,4500
1904,Orlando,6,38534,Gasoline,Continuously_Variable,First,5.0,AUDI,42,1968.0,174.33,40240
1905,Chicago,3,28584,Ethanol,Automatic,First,5.0,HYUNDAI,59,1197.0,81.86,9900
1906,Seattle,4,28242,Gasoline,Automatic,First,5.0,HONDA,64,1498.0,98.6,14960
1907,Charlotte,15,52819,Diesel,Semi-Automatic,Second,5.0,MERCEDES-BENZ,25,1796.0,157.7,11000
1908,Houston,15,54683,Diesel,Automatic,Second,0.0,HONDA,31,1493.0,100.0,3400
1909,Orlando,7,28168,Gasoline,Continuously_Variable,First,5.0,AUDI,39,1968.0,147.51,26380
1910,Charlotte,8,54683,Diesel,Automatic,First,5.0,GM,45,1197.0,85.8,7700
1911,Dallas,4,28197,Gasoline,Automatic,First,5.0,GM,67,1248.0,73.75,11500
1912,Los_Angeles,6,50333,Gasoline,Automatic,First,7.0,TESLA,36,2179.0,140.0,18000
1913,Orlando,8,51813,Diesel,Automatic,First,5.0,CHEVROLET,44,1199.0,79.4,4420
1914,Orlando,3,48796,Gasoline,Automatic,First,5.0,FORD,54,1498.0,98.96,16180
1915,Seattle,3,16972,Gasoline,Semi-Automatic,First,5.0,BMW,35,2993.0,258.0,97260
1916,Seattle,5,26563,Gasoline,Continuously_Variable,Second,5.0,AUDI,33,1968.0,174.3,78940
1917,Seattle,5,26263,Gasoline,Manual,Second,5.0,BMW,49,1995.0,190.0,44480
1918,Charlotte,11,13049,Diesel,Manual,First,5.0,HYUNDAI,45,1197.0,80.0,5200
1919,Austin,4,34239,Gasoline,Continuously_Variable,First,5.0,HYUNDAI,40,1582.0,126.2,24000
1920,Chicago,6,43498,Gasoline,Continuously_Variable,First,5.0,AUDI,40,1968.0,174.33,36000
1921,Charlotte,13,34177,CNG,Semi-Automatic,Third,5.0,MERCEDES-BENZ,24,3498.0,364.9,19980
1922,Atlanta,8,36187,Diesel,Automatic,First,5.0,HYUNDAI,48,1197.0,78.9,4900
1923,Charlotte,3,16156,Gasoline,Automatic,First,5.0,FORD,54,1498.0,98.96,17980
1924,Atlanta,9,21749,Gasoline,Automatic,First,5.0,VOLKSWAGEN,48,1598.0,103.6,6300
1925,Houston,3,14914,Gasoline,Automatic,First,5.0,GM,67,1248.0,73.75,16400
1926,Austin,4,60897,Gasoline,Automatic,First,7.0,TESLA,36,1997.0,120.0,23000
1927,Seattle,4,27644,Gasoline,Automatic,First,5.0,HYUNDAI,53,1396.0,88.73,14600
1928,Chicago,12,40391,Diesel,Automatic,First,5.0,GM,46,796.0,46.3,3180
1929,Dallas,5,21719,CNG,Automatic,Second,5.0,HYUNDAI,48,1197.0,78.9,6300
1930,Atlanta,5,32545,Gasoline,Automatic,Second,7.0,TESLA,36,2179.0,120.0,17000
1931,San_Francisco,10,41189,Gasoline,Automatic,First,5.0,LEXUS,46,1199.0,75.0,6000
1932,Charlotte,8,41012,Gasoline,Continuously_Variable,First,5.0,BMW,36,2993.0,258.0,42000
1933,San_Francisco,4,26720,Gasoline,Automatic,First,5.0,HONDA,64,1498.0,98.6,15500
1934,Charlotte,7,28087,Gasoline,Manual,First,5.0,MERCEDES-BENZ,24,2148.0,170.0,46000
1935,Charlotte,4,25477,Gasoline,Manual,First,7.0,TESLA,38,2179.0,140.0,27500
1936,Orlando,3,24502,Diesel,Manual,First,5.0,HONDA,42,1497.0,117.3,16580
1937,Seattle,6,51746,Gasoline,Automatic,First,5.0,GM,54,1248.0,74.0,11580
1938,Seattle,3,20086,Gasoline,Dual_Clutch,First,5.0,MERCEDES-BENZ,35,2143.0,170.0,61000
1939,Charlotte,9,31069,Diesel,Automatic,First,5.0,HONDA,40,1497.0,118.0,7600
1940,Boston,6,41012,Gasoline,Automatic,First,7.0,CHRYSLER,36,2956.0,83.8,8900
1941,Dallas,8,33556,Diesel,Automatic,First,5.0,HYUNDAI,44,1197.0,82.85,6600
1942,Houston,11,49712,Gasoline,Automatic,Second,5.0,FIAT,48,1248.0,91.2,3500
1943,Boston,9,44741,Diesel,Manual,Second,5.0,HONDA,30,1799.0,130.0,11000
1944,Los_Angeles,3,27879,Gasoline,Automatic,First,5.0,HYUNDAI,46,1582.0,126.2,26700
1945,Dallas,3,13671,Gasoline,Dual_Clutch,Second,5.0,AUDI,48,1968.0,143.0,45000
1946,Dallas,7,35717,Diesel,Automatic,Second,5.0,HYUNDAI,40,1591.0,121.3,10500
1947,San_Francisco,9,46605,Gasoline,Automatic,First,5.0,HYUNDAI,52,1396.0,90.0,7500
1948,Orlando,5,31458,Gasoline,Automatic,First,7.0,HONDA,57,1498.0,98.6,12640
1949,Boston,2,46605,Gasoline,Continuously_Variable,First,5.0,HYUNDAI,52,1582.0,126.32,15500
1950,Chicago,14,54062,Diesel,Automatic,Second,5.0,FORD,36,1596.0,101.0,2740
1951,Charlotte,10,38527,Diesel,Automatic,First,5.0,HYUNDAI,48,1197.0,78.9,4200
1952,San_Francisco,4,25709,Gasoline,Automatic,First,5.0,GM,57,1248.0,88.5,18600
1953,Austin,5,43498,Gasoline,Automatic,First,7.0,TOYOTA,31,2494.0,100.6,24000
1954,Los_Angeles,3,21749,Gasoline,Semi-Automatic,First,5.0,MERCEDES-BENZ,42,2143.0,136.0,47000
1955,San_Francisco,14,44736,Diesel,Automatic,First,5.0,GM,46,796.0,46.3,3600
1956,Chicago,7,38527,Gasoline,Manual,Second,5.0,MERCEDES-BENZ,35,2143.0,170.0,25000
1957,Dallas,5,31691,Gasoline,Automatic,First,5.0,GM,54,1248.0,74.0,9480
1958,Orlando,4,16180,Diesel,Automatic,First,5.0,HYUNDAI,44,1197.0,82.0,10860
1959,Orlando,2,23435,Gasoline,Dual_Clutch,Second,7.0,TOYOTA,30,2982.0,168.5,63240
1960,Atlanta,9,48524,Diesel,Automatic,First,8.0,TOYOTA,29,1998.0,132.0,12600
1961,Orlando,3,18923,Gasoline,Automatic,First,5.0,FORD,54,1498.0,98.59,16900
1962,Los_Angeles,4,33556,Diesel,Automatic,First,5.0,FORD,43,1196.0,86.8,10000
1963,Chicago,9,118066,Gasoline,Automatic,First,7.0,TOYOTA,27,2982.0,171.0,26000
1964,San_Francisco,8,40451,Diesel,Automatic,First,5.0,GM,45,1197.0,85.8,9400
1965,Seattle,2,17436,Diesel,Dual_Clutch,First,5.0,BMW,28,2979.0,320.0,187340
1966,Houston,11,68975,Diesel,Automatic,Second,5.0,GM,44,1061.0,67.0,3020
1967,Orlando,7,39332,Gasoline,Automatic,First,5.0,RENAULT,45,1461.0,108.45,12180
1968,Charlotte,5,22227,Diesel,Automatic,First,5.0,GM,49,1373.0,91.1,11900
1969,San_Francisco,8,78252,Gasoline,Automatic,First,5.0,HYUNDAI,53,1582.0,126.24,18000
1970,Atlanta,5,27963,Gasoline,Dual_Clutch,First,5.0,LEXUS,51,1498.0,103.52,8500
1971,San_Francisco,7,13049,Gasoline,Continuously_Variable,First,5.0,MERCEDES-BENZ,35,2143.0,170.0,47000
1972,Charlotte,9,34037,CNG,Continuously_Variable,First,5.0,HONDA,28,2354.0,177.6,12700
1973,Chicago,6,25554,Diesel,Automatic,First,5.0,GM,54,998.0,67.04,6800
1974,Boston,3,10853,Diesel,Continuously_Variable,First,5.0,BMW,28,2979.0,320.0,186000
1975,Chicago,6,29827,Gasoline,Semi-Automatic,First,5.0,BMW,53,1995.0,190.0,43200
1976,Chicago,9,107502,Gasoline,Automatic,First,5.0,VOLKSWAGEN,48,1598.0,103.6,8000
1977,Los_Angeles,2,7457,Gasoline,Automatic,First,5.0,GM,55,1248.0,74.0,11000
1978,Charlotte,8,21128,Gasoline,Dual_Clutch,First,5.0,RAM,29,2179.0,147.51,38500
1979,San_Francisco,8,44343,Gasoline,Automatic,First,5.0,HYUNDAI,52,1396.0,90.0,7900
1980,Charlotte,8,45984,Gasoline,Automatic,Second,5.0,GM,67,1248.0,73.75,8500
1981,Orlando,2,17981,Gasoline,Automatic,First,5.0,JEEP,40,1956.0,170.0,34040
1982,San_Francisco,8,51008,Gasoline,Automatic,First,7.0,GM,49,1248.0,88.76,13000
1983,Boston,9,42544,Diesel,Automatic,First,5.0,FORD,37,1196.0,70.0,5900
1984,Seattle,7,39679,Gasoline,Automatic,First,5.0,TOYOTA,50,1364.0,86.79,14240
1985,Chicago,2,1864,Gasoline,Dual_Clutch,First,5.0,GM,57,1248.0,88.5,22500
1986,Dallas,11,40425,Diesel,Automatic,First,5.0,HONDA,40,1497.0,118.0,5500
1987,San_Francisco,5,74568,Gasoline,Automatic,First,7.0,TESLA,36,2179.0,120.0,24000
1988,Charlotte,6,39919,CNG,Automatic,First,5.0,HYUNDAI,47,1197.0,81.86,7340
1989,Los_Angeles,15,75189,Gasoline,Automatic,First,5.0,MERCEDES-BENZ,35,2148.0,0.0,10000
1990,Los_Angeles,12,1367,Diesel,Automatic,First,5.0,TESLA,37,1390.0,75.0,4600
1991,Los_Angeles,12,54760,Gasoline,Automatic,First,5.0,LEXUS,44,1896.0,66.0,4400
1992,Los_Angeles,6,49091,Gasoline,Manual,First,7.0,MERCEDES-BENZ,28,2987.0,224.0,82000
1993,Boston,4,17488,Gasoline,Continuously_Variable,First,5.0,BMW,49,1995.0,190.0,57000
1994,Charlotte,5,14293,Diesel,Automatic,First,5.0,VOLKSWAGEN,35,1598.0,103.2,10980
1995,Austin,7,50956,Gasoline,Dual_Clutch,Second,5.0,AUDI,39,1968.0,147.51,35000
1996,Boston,11,46605,Gasoline,Automatic,First,5.0,FORD,32,1399.0,68.0,3980
1997,Orlando,4,23272,Gasoline,Automatic,First,5.0,HYUNDAI,52,1582.0,126.3,13280
1998,San_Francisco,3,41634,Gasoline,Automatic,First,7.0,TOYOTA,32,2393.0,147.8,33000
1999,Los_Angeles,4,15535,Diesel,Automatic,First,5.0,HYUNDAI,44,1197.0,82.0,10000
2000,Charlotte,3,7457,Diesel,Automatic,First,5.0,VOLKSWAGEN,40,1198.0,73.75,10800
2001,Atlanta,3,15535,CNG,Automatic,First,5.0,RENAULT,59,799.0,53.3,5980
2002,Houston,9,59615,Diesel,Automatic,First,5.0,HONDA,40,1497.0,118.0,8200
2003,Orlando,2,3327,Diesel,Manual,First,5.0,HYUNDAI,44,1197.0,81.86,13520
2004,Chicago,4,26099,Diesel,Automatic,Second,5.0,VOLKSWAGEN,44,999.0,75.0,11000
2005,Seattle,6,27517,Gasoline,Automatic,First,5.0,GM,59,1248.0,74.0,11980
2006,Dallas,8,43498,Gasoline,Automatic,First,5.0,NISSAN,51,1461.0,84.8,5180
2007,Charlotte,7,19512,Gasoline,Continuously_Variable,First,5.0,JAGUAR,38,2179.0,187.7,53500
